train_loss_step,validation_loss,elbo_validation,reconstruction_loss_validation,kl_local_validation,kl_global_validation,train_loss_epoch,elbo_train,reconstruction_loss_train,kl_local_train,kl_global_train
765.7940673828125,687.529541015625,755.0462646484375,684.1624755859375,70.88379669189453,0.0,713.2339477539062,780.9003295898438,709.8595581054688,71.04076385498047,0.0
730.002197265625,687.946533203125,755.3677978515625,684.3980712890625,70.96971893310547,0.0,712.8466186523438,780.3226928710938,709.2952270507812,71.02745819091797,0.0
731.6865844726562,687.9658203125,755.3313598632812,684.233154296875,71.09822082519531,0.0,712.9805908203125,780.2838134765625,709.2514038085938,71.03241729736328,0.0
742.17236328125,687.5023803710938,754.6693115234375,683.5932006835938,71.07610321044922,0.0,713.4906005859375,780.6587524414062,709.581298828125,71.07747650146484,0.0
713.2056274414062,687.5853881835938,754.5878295898438,683.4976806640625,71.09014892578125,0.0,713.4328002929688,780.47607421875,709.3424682617188,71.13359069824219,0.0
709.7404174804688,687.2702026367188,754.0545654296875,683.0073852539062,71.04717254638672,0.0,713.4057006835938,780.1821899414062,709.143310546875,71.03890228271484,0.0
731.8187255859375,687.9754028320312,754.744873046875,683.5241088867188,71.22077178955078,0.0,713.6698608398438,780.2725219726562,709.2297973632812,71.0427017211914,0.0
680.11572265625,688.0225219726562,754.478271484375,683.4025268554688,71.07575225830078,0.0,713.3041381835938,779.7157592773438,708.6873779296875,71.02838134765625,0.0
729.4440307617188,688.26220703125,754.6915283203125,683.4536743164062,71.23784637451172,0.0,713.1864624023438,779.4946899414062,708.3866577148438,71.1080551147461,0.0
712.8661499023438,687.4580688476562,753.7249755859375,682.47021484375,71.25477600097656,0.0,713.7788696289062,779.9195556640625,708.800537109375,71.11903381347656,0.0
740.21923828125,687.9611206054688,753.9034423828125,682.8065795898438,71.09686279296875,0.0,713.78271484375,779.7478637695312,708.6264038085938,71.1214599609375,0.0
693.8659057617188,688.380126953125,754.10986328125,683.0505981445312,71.05923461914062,0.0,714.216796875,779.9680786132812,708.8856201171875,71.08246612548828,0.0
752.6945190429688,687.477783203125,753.0109252929688,681.9722900390625,71.03864288330078,0.0,714.0859375,779.6402587890625,708.5786743164062,71.06156921386719,0.0
697.9781494140625,688.00439453125,753.2384033203125,682.3318481445312,70.90656280517578,0.0,714.0548706054688,779.456298828125,708.3676147460938,71.08865356445312,0.0
696.1826782226562,688.1355590820312,753.4857788085938,682.2593994140625,71.22637176513672,0.0,714.1532592773438,779.3868408203125,708.2875366210938,71.09931945800781,0.0
732.400634765625,688.8987426757812,753.7528686523438,682.8740844726562,70.8788070678711,0.0,714.2616577148438,779.3013916015625,708.2197265625,71.08168029785156,0.0
685.8203125,688.6591186523438,753.5059814453125,682.44091796875,71.0650405883789,0.0,714.487548828125,779.3220825195312,708.2705078125,71.05159759521484,0.0
736.55859375,689.0400390625,753.8746337890625,682.6279907226562,71.24664306640625,0.0,714.5967407226562,779.3764038085938,708.18994140625,71.18647003173828,0.0
696.380126953125,688.903564453125,753.3660278320312,682.3330078125,71.03303527832031,0.0,714.650634765625,779.184814453125,708.0728149414062,71.11200714111328,0.0
740.5052490234375,689.3515625,753.8484497070312,682.5812377929688,71.2672348022461,0.0,714.6807861328125,779.0074462890625,707.9284057617188,71.07904815673828,0.0
757.9225463867188,688.9243774414062,753.1797485351562,681.9826049804688,71.19715118408203,0.0,714.9310913085938,779.1207885742188,707.9965209960938,71.12425231933594,0.0
733.1592407226562,688.4652709960938,752.4531860351562,681.3555297851562,71.0976791381836,0.0,714.8876953125,778.874755859375,707.7778930664062,71.09688568115234,0.0
785.144287109375,688.7344970703125,752.6183471679688,681.4386596679688,71.1797103881836,0.0,715.1212768554688,779.0504150390625,707.8201293945312,71.23030853271484,0.0
712.61962890625,689.0264282226562,752.6270141601562,681.5648803710938,71.06212615966797,0.0,715.3037719726562,779.0186157226562,707.828857421875,71.18973541259766,0.0
697.1294555664062,688.7617797851562,752.291748046875,681.1097412109375,71.1820297241211,0.0,715.1152954101562,778.6036376953125,707.46826171875,71.13534545898438,0.0
602.470458984375,689.6325073242188,753.0223388671875,681.7977905273438,71.22455596923828,0.0,715.5348510742188,778.7701416015625,707.7192993164062,71.05084991455078,0.0
727.2972412109375,689.239501953125,752.2861328125,681.2476806640625,71.03842163085938,0.0,715.7185668945312,778.8455810546875,707.7166137695312,71.12895965576172,0.0
714.8665771484375,689.6100463867188,752.6110229492188,681.4234619140625,71.18758392333984,0.0,715.4940795898438,778.5453491210938,707.3009643554688,71.24437713623047,0.0
721.4161376953125,689.9117431640625,752.6553955078125,681.5578002929688,71.09759521484375,0.0,716.0984497070312,778.935791015625,707.73193359375,71.203857421875,0.0
734.025390625,689.5685424804688,752.3093872070312,681.012939453125,71.29644012451172,0.0,716.1106567382812,778.68701171875,707.5774536132812,71.10955047607422,0.0
691.7056274414062,690.2035522460938,752.6290283203125,681.4888305664062,71.14016723632812,0.0,716.3174438476562,778.7672119140625,707.5995483398438,71.16768646240234,0.0
703.31982421875,689.997802734375,752.3987426757812,681.08349609375,71.31524658203125,0.0,716.2106323242188,778.4714965820312,707.3162841796875,71.15519714355469,0.0
